x,y
185.94,285.6
386.63,282.8
202.8,58.8
274.82,350
288.19,291.2
0,44.8
306.1,190.4
158.88,319.2
18.23,263.2
204.43,78.4
172.61,145.6
60.97,324.8
5.11,128.8
263.74,383.6
195.71,249.2
431.61,109.2
390.17,187.6
278.79,212.8
293.03,226.8
326.47,313.6
265.74,67.2
118.51,44.8
400.06,215.6
98.18,30.8
258.32,19.6
73.38,330.4
202.57,338.8
121.26,324.8
303.06,134.4
48.13,375.2
414.65,106.4
139.54,238
355.58,36.4
102.41,162.4
359.54,140
0,392
413.2,336
184.24,257.6
257.64,268.8
5.54,182
233.53,53.2
132.6,5.6
339.25,226.8
7.22,67.2
433.59,165.2
200.86,140
403.86,95.2
34.06,137.2
222.63,61.6
59.22,257.6
288.08,313.6
137.68,361.2
248.65,84
126.28,44.8
243.08,44.8
219.61,33.6
312.85,128.8
67.96,44.8
352.77,131.6
172.11,33.6
189.32,184.8
362.76,47.6
241.34,375.2
187.44,291.2
402.75,44.8
48.17,190.4
20.38,313.6
143.63,238
359.68,386.4
24.35,112
383.82,386.4
389.8,212.8
397.57,145.6
199.79,58.8
58.35,86.8
299.96,238
235.65,386.4
224.18,134.4
110.6,120.4
387.85,375.2
409.9,193.2
114.84,383.6
13.42,39.2
251.53,232.4
286.4,338.8
95.88,98
157.47,47.6
182.2,316.4
193.22,252
109.08,232.4
97.21,271.6
43.63,120.4
15.94,103.6
171.72,89.6
130.48,232.4
298.92,271.6
188.04,324.8
188.39,207.2
196.25,238
237.46,252
263.95,378
4.21,168
258.97,352.8
332.84,33.6
369.91,58.8
184.78,187.6
42.86,168
240.77,30.8
390.79,120.4
26.85,134.4
23.87,190.4
290.75,254.8
381.09,282.8
19.89,168
301.86,89.6
256.7,215.6
316,310.8
159.71,249.2
370.1,70
203.73,95.2
259.98,95.2
14.52,375.2
235.82,190.4
335.09,201.6
243.85,142.8
29.24,120.4
356.3,238
421.65,151.2
255.58,131.6
230.74,154
383.75,263.2
413.48,179.2
239.26,386.4
223.97,210
216.22,291.2
181.82,291.2
269.1,350
233.13,112
227.73,299.6
286.21,299.6
235.99,238
404.13,22.4
339.32,182
275.01,352.8
360.52,44.8
198.15,291.2
415.08,72.8
359.28,70
291.94,128.8
236.15,128.8
73.42,375.2
12.56,215.6
150.79,291.2
52.86,364
371,313.6
283.4,8.4
296.69,302.4
227.89,212.8
247.16,375.2
406.14,156.8
211.18,257.6
83.92,313.6
420.95,229.6
58.77,249.2
234.85,313.6
276.23,64.4
213.23,212.8
108.5,156.8
221.36,128.8
282.55,338.8
170.81,291.2
132.93,238
228.68,386.4
381.09,47.6
191.44,156.8
6.48,128.8
256.81,165.2
390.66,324.8
324.42,282.8
106,316.4
322.38,204.4
285.22,36.4
220.65,170.8
152.54,361.2
280.43,361.2
268.16,375.2
242.49,322
134.81,11.2
158.99,0
312.49,81.2
395.64,106.4
154.11,81.2
14.21,67.2
281.46,224
397.2,240.8
161.46,193.2
139.65,33.6
244.95,159.6
413.79,313.6
231.57,142.8
176.9,176.4
434.81,98
318.83,240.8
133.14,44.8
189.38,252
367.09,67.2
368.89,0
248.06,67.2
159.35,350
217.88,173.6
337.38,338.8
34.95,291.2
345.93,235.2
153.64,47.6
298.11,350
213.73,187.6
268.55,187.6
58.25,47.6
60.37,361.2
221.03,131.6
393.82,299.6
153.76,114.8
67.26,67.2
193.81,67.2
247.53,78.4
377.34,305.2
88.33,380.8
313.73,310.8
168.31,266
310.87,140
194.14,95.2
376.55,215.6
93.56,215.6
247.98,89.6
13.9,42
297.08,215.6
221.86,380.8
284.87,67.2
172.63,190.4
413.43,347.2
5.3,327.6
375.25,238
102.18,95.2
60.09,291.2
296.55,361.2
150.71,274.4
142.71,78.4
249.79,78.4
67.76,84
159.3,361.2
419.61,336
376.42,137.2
271.46,364
333.4,72.8
336.73,310.8
373.43,154
388.94,235.2
278.5,156.8
217.13,364
394.73,187.6
377.03,313.6
304.21,72.8
174.33,142.8
278.21,33.6
76.44,8.4
367.68,22.4
319.91,291.2
316.58,260.4
296.94,380.8
409.8,70
274.46,235.2
366.89,84
308.27,72.8
252.28,215.6
248.01,22.4
87.23,235.2
0,182
125.94,204.4
165.38,117.6
421.3,44.8
72.76,327.6
258.5,327.6
54.05,8.4
377.74,16.8
97.64,378
30.81,260.4
129.19,98
7.93,114.8
331.16,33.6
212.21,282.8
66.14,386.4
199.99,299.6
285.34,44.8
78.78,145.6
192.7,291.2
273.13,336
282.37,313.6
398.02,42
28.7,187.6
77.72,226.8
157.48,187.6
89.32,95.2
93.88,310.8
188.27,75.6
86.12,112
158.89,162.4
195.47,386.4
134.72,268.8
26.26,42
116.09,86.8
0,168
31.35,235.2
89.47,117.6
39.4,81.2
202.98,70
97.85,123.2
159.27,128.8
145.03,299.6
63.47,386.4
56.73,36.4
159.88,187.6
85.26,212.8
92.11,123.2
21.07,291.2
114.05,95.2
359.79,187.6
394.74,145.6
279.71,75.6
4.44,235.2
13.83,44.8
188.85,187.6
13.14,330.4
47.21,75.6
65.06,179.2
107.49,11.2
148.2,198.8
18.19,70
85.18,224
232.91,254.8
278.79,291.2
294.87,89.6
333.02,235.2
413.78,103.6
168.52,229.6
112.82,336
71.19,361.2
98.6,310.8
182.92,355.6
255.81,327.6
418.88,232.4
434.39,84
399.4,386.4
301.84,11.2
258.52,142.8
267.5,333.2
410.14,266
334.94,266
245.2,221.2
203.24,50.4
25.47,198.8
0,70
277.25,61.6
271.37,383.6
247.85,190.4
150,190.4
29.91,162.4
349.95,235.2
276.09,299.6
351.21,165.2
366.31,5.6
116.69,291.2
205.09,274.4
251,316.4
172.74,254.8
132.06,350
281.41,263.2
159.64,16.8
16.59,226.8
145.1,215.6
232.69,243.6
303.92,215.6
343.28,378
201.47,226.8
196.87,386.4
160.63,386.4
256.66,361.2
91.87,305.2
98.74,386.4
143.4,44.8
16.83,386.4
78.42,246.4
25.78,386.4
69.22,364
425.58,274.4
338.83,58.8
117.34,151.2
199.76,187.6
154.71,249.2
161.76,246.4
193.44,316.4
335.8,327.6
290.22,338.8
177.36,313.6
184.38,254.8
167.3,246.4
45.05,215.6
14.95,361.2
255.53,341.6
368.98,42
193.57,215.6
124.29,336
238.9,53.2
57.26,386.4
289.4,266
322.08,366.8
389.51,375.2
379.21,67.2
385.65,176.4
63.76,299.6
183.33,341.6
237.81,95.2
223.15,78.4
218.8,128.8
265.39,142.8
343.77,313.6
407.69,338.8
368.6,235.2
340.55,109.2
262.11,333.2
216.72,383.6
369.81,386.4
417.16,299.6
290.45,106.4
226.31,19.6
241.09,16.8
167.73,319.2
204.56,386.4
287.93,67.2
339.92,126
316.75,95.2
217.18,310.8
162.04,42
221.05,322
69.22,386.4
76.61,243.6
17.88,67.2
103.3,182
1.67,36.4
43,67.2
7.51,271.6
3.1,291.2
301.86,229.6
328.83,296.8
66.1,355.6
435.11,271.6
230.77,19.6
192.66,179.2
178.98,182
48.2,142.8
59.52,142.8
226.2,50.4
57.62,142.8
194.89,58.8
394.75,215.6
257.35,53.2
24.06,61.6
67.05,352.8
191.61,386.4
182.7,336
191.23,58.8
126.4,291.2
24.85,263.2
110.26,327.6
164,184.8
117.98,316.4
171.99,280
344.54,229.6
317.79,207.2
348.34,36.4
405.63,36.4
160.01,274.4
233.39,280
157.52,322
209.72,131.6
135.75,260.4
58.46,36.4
119.87,81.2
24.35,207.2
158.93,260.4
428.87,291.2
46.27,324.8
416.46,347.2
396.35,338.8
134.8,364
117.62,274.4
413.49,280
39.41,215.6
173.26,257.6
418.82,291.2
409.21,215.6
59.95,327.6
299.66,330.4
342.36,215.6
87.83,215.6
185.16,201.6
105.3,324.8
34.71,372.4
0,333.2
136.78,352.8
397.98,226.8
258.69,375.2
169.63,47.6
139.53,344.4
271.23,168
395.88,380.8
329.23,8.4
429.29,338.8
347.84,378
354.78,378
328.22,274.4
334,112
302.14,313.6
328.02,333.2
331.28,324.8
405.77,226.8
354.82,19.6
137.41,232.4
378.38,254.8
333.38,145.6
392.66,380.8
263.49,350
255.31,268.8
389.01,64.4
426.64,151.2
354.86,302.4
276.04,316.4
198.34,50.4
127.62,324.8
57.7,366.8
287.09,333.2
270.03,263.2
261.02,187.6
350.65,366.8
384.42,151.2
434.55,313.6
347.59,361.2
411.06,386.4
22.47,380.8
39.08,117.6
126.75,263.2
66.97,263.2
60.55,263.2
43.58,313.6
23.61,235.2
91.41,100.8
73.85,372.4
20.63,324.8
42.11,364
295.26,229.6
282.28,294
20.62,380.8
53.64,112
82.35,380.8
94.09,151.2
44.84,254.8
5.93,263.2
111.43,218.4
308.22,282.8
324.14,341.6
347.14,196
252.16,389.2
407.07,294
112.44,140
66.94,56
75.01,296.8
58.67,98
116.42,341.6
114.74,341.6
80.33,372.4
74.98,198.8
409.87,322
254.75,274.4
315.63,347.2
316.6,313.6
246.22,322
364.15,210
229.24,338.8
340.53,366.8
328.86,263.2
375.16,285.6
52.93,165.2
51.91,165.2
217.36,56
407.37,322
46.24,372.4
23.57,380.8
295.11,330.4
352.7,212.8
423.56,212.8
350.68,336
58.16,316.4
39.97,372.4
308.62,212.8
289.56,252
181.3,184.8
164.94,0
354.1,235.2
418.12,324.8
144.12,352.8
174.54,212.8
55.67,190.4
26.05,380.8
364.16,201.6
322.68,336
247.78,274.4
366.31,201.6
254.55,11.2
368.77,201.6
306.01,330.4
6.52,19.6
223.62,44.8
299.71,352.8
256.31,313.6
249.41,322
254.67,322
225.87,319.2
397.49,389.2
227.19,375.2
268.81,274.4
3.45,316.4
99.64,344.4
298.76,173.6
363.26,179.2
254.73,201.6
31.06,375.2
54.53,0
0,140
131.78,8.4
95.24,190.4
97.91,389.2
104.07,310.8
100,310.8
90.5,361.2
69.7,249.2
82.22,224
66.2,285.6
85.27,226.8
0,56
92.48,302.4
133.25,302.4
334.59,117.6
321.2,39.2
338.48,120.4
369.9,44.8
329.15,117.6
365.73,361.2
305.19,134.4
324.13,165.2
311.12,142.8
400.64,84
313.97,165.2
242.36,56
297.55,22.4
325.83,114.8
385.11,42
331.74,112
307.78,128.8
320.53,165.2
316.22,142.8
294.13,98
369.36,47.6
382.95,380.8
407,319.2
240.1,338.8
338.72,361.2
244.21,182
154.39,165.2
245.72,182
161.3,165.2
17.59,313.6
61.4,338.8
363.81,285.6
356.97,285.6
355.37,389.2
351.78,389.2
375.94,380.8
344.81,389.2
146.77,98
139.6,95.2
274.63,324.8
181.04,392
47.06,170.8
139.89,11.2
65.26,117.6
49.67,81.2
76.75,70
73.86,70
84.92,70
67.81,117.6
17.87,145.6
24.4,142.8
27.15,140
16.71,137.2
77.9,78.4
73.71,78.4
87.16,72.8
88.82,72.8
29.25,145.6
51.4,142.8
47.59,81.2
43.69,81.2
352.94,285.6
330.13,378
60.04,22.4
53.77,22.4
112.21,98
91.06,112
412.67,310.8
387.17,308
54.62,11.2
10.54,176.4
40.58,184.8
83.09,190.4
383.66,308
376.71,308
