x,y
113.195,216.555
168.32,213.109
109.75,323.359
333.695,213.109
388.82,213.109
-0.5,213.109
223.445,433.609
168.32,323.359
6.39062,102.859
223.445,213.109
58.0703,216.555
333.695,433.609
58.0703,102.859
333.695,157.984
2.94531,323.359
223.445,323.359
113.195,433.609
223.445,102.859
6.39062,157.984
0,0
113.195,268.234
337.141,102.859
164.875,433.609
278.57,433.609
113.195,157.984
278.57,216.555
58.0703,323.359
388.82,433.609
2.94531,47.7344
388.82,157.984
168.32,268.234
282.016,323.359
113.195,102.859
278.57,102.859
-0.5,433.609
388.82,323.359
58.0703,157.984
388.82,102.859
109.75,378.484
223.445,378.484
168.32,161.43
223.445,157.984
-0.5,268.234
333.695,378.484
58.0703,47.7344
361.258,213.109
140.758,323.359
223.445,268.234
171.766,102.859
223.445,47.7344
54.625,433.609
333.695,268.234
30.5078,213.109
333.695,51.1797
164.875,378.484
140.758,216.555
282.016,157.984
58.0703,268.234
278.57,51.1797
278.57,381.93
113.195,47.7344
195.883,323.359
251.008,213.109
416.383,216.555
388.82,51.1797
388.82,378.484
195.883,213.109
2.94531,378.484
30.5078,106.305
361.258,161.43
140.758,433.609
251.008,102.859
168.32,47.7344
140.758,157.984
85.6328,213.109
278.57,268.234
388.82,268.234
361.258,106.305
30.5078,323.359
306.133,213.109
306.133,102.859
251.008,433.609
85.6328,102.859
416.383,157.984
361.258,433.609
251.008,161.43
140.758,268.234
416.383,102.859
333.695,188.992
251.008,326.805
144.203,102.859
361.258,51.1797
361.258,326.805
388.82,185.547
58.0703,378.484
306.133,433.609
251.008,47.7344
416.383,433.609
33.9531,157.984
416.383,47.7344
416.383,323.359
333.695,130.422
195.883,433.609
306.133,323.359
333.695,75.2969
251.008,378.484
195.883,161.43
361.258,378.484
251.008,268.234
306.133,157.984
85.6328,323.359
388.82,130.422
306.133,51.1797
364.703,268.234
195.883,268.234
388.82,78.7422
306.133,378.484
27.0625,433.609
33.9531,47.7344
419.828,378.484
223.445,185.547
199.328,102.859
140.758,378.484
361.258,185.547
306.133,268.234
30.5078,268.234
85.6328,157.984
223.445,75.2969
113.195,295.797
416.383,268.234
113.195,185.547
223.445,406.047
89.0781,433.609
333.695,406.047
89.0781,47.7344
223.445,295.797
195.883,378.484
333.695,20.1719
144.203,47.7344
278.57,185.547
85.6328,268.234
419.828,185.547
2.94531,185.547
278.57,78.7422
164.875,295.797
333.695,295.797
168.32,188.992
278.57,406.047
33.9531,378.484
388.82,406.047
2.94531,75.2969
388.82,20.1719
109.75,409.492
278.57,299.242
195.883,47.7344
223.445,130.422
2.94531,295.797
388.82,295.797
58.0703,185.547
226.891,20.1719
223.445,354.367
282.016,130.422
113.195,240.672
116.641,130.422
85.6328,378.484
58.0703,75.2969
361.258,130.422
278.57,20.1719
168.32,406.047
