x,y
79.4062,149.188
4.8125,149.188
81.8125,72.1875
4.8125,72.1875
120.312,149.188
43.3125,149.188
120.312,72.1875
40.9062,72.1875
81.8125,105.875
4.8125,115.5
81.8125,33.6875
4.8125,33.6875
120.312,110.688
43.3125,115.5
120.312,33.6875
43.3125,33.6875
24.0625,144.375
98.6562,149.188
24.0625,72.1875
101.062,67.375
62.5625,149.188
139.562,149.188
62.5625,72.1875
139.562,72.1875
24.0625,110.688
98.6562,110.688
24.0625,33.6875
98.6562,33.6875
62.5625,110.688
139.562,105.875
60.1562,33.6875
139.562,33.6875
4.8125,134.75
4.8125,48.125
43.3125,129.938
81.8125,129.938
43.3125,52.9375
81.8125,52.9375
4.8125,86.625
117.906,129.938
2.40625,14.4375
120.312,52.9375
43.3125,96.25
81.8125,91.4375
43.3125,14.4375
81.8125,14.4375
24.0625,129.938
120.312,86.625
21.6562,52.9375
62.5625,129.938
120.312,14.4375
62.5625,48.125
98.6562,129.938
24.0625,91.4375
101.062,52.9375
24.0625,14.4375
139.562,129.938
62.5625,96.25
139.562,52.9375
62.5625,14.4375
101.062,91.4375
14.4375,144.375
96.25,14.4375
14.4375,72.1875
43.3125,120.312
139.562,105.875
45.7188,72.1875
139.562,24.0625
4.8125,86.625
81.8125,120.312
14.4375,33.6875
81.8125,52.9375
43.3125,101.062
120.312,139.562
43.3125,14.4375
120.312,43.3125
24.0625,129.938
81.8125,81.8125
21.6562,52.9375
81.8125,4.8125
62.5625,120.312
55.3438,62.5625
33.6875,101.062
24.0625,4.8125
72.1875,96.25
72.1875,24.0625
14.4375,144.375
14.4375,72.1875
43.3125,139.562
43.3125,52.9375
4.8125,115.5
52.9375,96.25
24.0625,144.375
14.4375,24.0625
72.1875,125.125
129.938,101.062
43.3125,4.8125
132.344,33.6875
33.6875,96.25
110.688,139.562
24.0625,43.3125
110.688,48.125
72.1875,86.625
149.188,149.188
72.1875,72.1875
149.188,62.5625
14.4375,144.375
113.094,110.688
33.6875,9.625
110.688,24.0625
43.3125,139.562
139.562,105.875
72.1875,14.4375
139.562,24.0625
4.8125,101.062
81.8125,120.312
14.4375,62.5625
101.062,67.375
52.9375,105.875
132.344,120.312
43.3125,43.3125
120.312,43.3125
24.0625,129.938
91.4375,101.062
14.4375,24.0625
81.8125,4.8125
43.3125,120.312
129.938,91.4375
52.9375,33.6875
132.344,4.8125
24.0625,110.688
110.688,129.938
31.2812,72.1875
110.688,67.375
62.5625,101.062
149.188,129.938
62.5625,62.5625
149.188,52.9375
33.6875,120.312
110.688,81.8125
33.6875,24.0625
108.281,14.4375
52.9375,144.375
139.562,91.4375
72.1875,24.0625
139.562,14.4375
4.8125,86.625
91.4375,144.375
14.4375,48.125
110.688,67.375
52.9375,96.25
120.312,139.562
50.5312,72.1875
129.938,62.5625
33.6875,139.562
81.8125,105.875
12.0312,14.4375
91.4375,33.6875
52.9375,120.312
120.312,110.688
52.9375,14.4375
120.312,24.0625
24.0625,81.8125
98.6562,149.188
36.0938,52.9375
81.8125,52.9375
62.5625,86.625
149.188,149.188
72.1875,72.1875
139.562,62.5625
14.4375,120.312
103.469,110.688
24.0625,33.6875
98.6562,33.6875
52.9375,144.375
149.188,101.062
62.5625,14.4375
149.188,24.0625
14.4375,101.062
91.4375,125.125
4.8125,72.1875
81.8125,72.1875
43.3125,101.062
117.906,129.938
52.9375,43.3125
129.938,43.3125
24.0625,120.312
91.4375,86.625
4.8125,33.6875
89.0312,14.4375
62.5625,149.188
129.938,91.4375
43.3125,33.6875
120.312,4.8125
33.6875,115.5
110.688,129.938
33.6875,62.5625
110.688,48.125
72.1875,105.875
149.188,120.312
62.5625,48.125
149.188,52.9375
14.4375,144.375
110.688,81.8125
36.0938,33.6875
113.094,14.4375
43.3125,120.312
146.781,81.8125
72.1875,33.6875
139.562,4.8125
14.4375,81.8125
91.4375,144.375
14.4375,48.125
81.8125,43.3125
52.9375,86.625
129.938,139.562
40.9062,72.1875
120.312,62.5625
33.6875,149.188
91.4375,110.688
16.8438,14.4375
91.4375,33.6875
72.1875,125.125
129.938,110.688
43.3125,4.8125
132.344,24.0625
33.6875,86.625
110.688,139.562
24.0625,43.3125
101.062,52.9375
72.1875,86.625
149.188,149.188
62.5625,62.5625
149.188,62.5625
4.8125,125.125
108.281,101.062
33.6875,9.625
110.688,24.0625
52.9375,144.375
139.562,105.875
72.1875,4.8125
139.562,24.0625
4.8125,101.062
81.8125,120.312
14.4375,62.5625
89.0312,72.1875
52.9375,105.875
132.344,120.312
43.3125,43.3125
120.312,43.3125
33.6875,129.938
91.4375,86.625
14.4375,24.0625
81.8125,4.8125
62.5625,149.188
129.938,91.4375
52.9375,24.0625
127.531,4.8125
24.0625,101.062
110.688,129.938
36.0938,72.1875
101.062,67.375
62.5625,110.688
149.188,129.938
62.5625,48.125
149.188,52.9375
4.8125,149.188
110.688,91.4375
24.0625,24.0625
108.281,14.4375
52.9375,125.125
139.562,91.4375
62.5625,24.0625
139.562,14.4375
4.8125,86.625
91.4375,144.375
14.4375,48.125
81.8125,52.9375
52.9375,96.25
120.312,139.562
50.5312,62.5625
129.938,62.5625
24.0625,144.375
81.8125,105.875
12.0312,14.4375
91.4375,33.6875
62.5625,120.312
122.719,101.062
52.9375,14.4375
120.312,33.6875
24.0625,81.8125
98.6562,149.188
36.0938,52.9375
101.062,43.3125
62.5625,86.625
139.562,149.188
72.1875,72.1875
139.562,62.5625
14.4375,120.312
101.062,101.062
33.6875,9.625
105.875,24.0625
52.9375,144.375
149.188,101.062
62.5625,4.8125
149.188,33.6875
14.4375,101.062
91.4375,125.125
4.8125,62.5625
91.4375,62.5625
43.3125,101.062
122.719,120.312
52.9375,52.9375
129.938,43.3125
24.0625,129.938
91.4375,86.625
4.8125,24.0625
89.0312,14.4375
72.1875,139.562
120.312,86.625
33.6875,129.938
91.4375,86.625
72.1875,105.875
139.562,120.312
62.5625,4.8125
120.312,4.8125
81.8125,81.8125
110.688,67.375
33.6875,149.188
101.062,67.375
43.3125,129.938
101.062,67.375
24.0625,81.8125
139.562,120.312
139.562,43.3125
98.6562,120.312
72.1875,115.5
120.312,86.625
4.8125,149.188
101.062,81.8125
14.4375,33.6875
110.688,48.125
149.188,14.4375
101.062,67.375
72.1875,139.562
149.188,4.8125
72.1875,52.9375
98.6562,4.8125
14.4375,81.8125
122.719,129.938
81.8125,139.562
122.719,129.938
43.3125,120.312
117.906,120.312
24.0625,144.375
117.906,129.938
33.6875,9.625
149.188,33.6875
91.4375,43.3125
120.312,62.5625
43.3125,105.875
81.8125,139.562
24.0625,91.4375
81.8125,24.0625
62.5625,48.125
120.312,86.625
81.8125,139.562
139.562,120.312
4.8125,48.125
91.4375,144.375
43.3125,101.062
151.594,81.8125
72.1875,52.9375
139.562,4.8125
101.062,43.3125
149.188,72.1875
24.0625,81.8125
149.188,62.5625
72.1875,149.188
149.188,72.1875
52.9375,14.4375
149.188,72.1875
33.6875,139.562
43.3125,14.4375
72.1875,139.562
84.2188,149.188
24.0625,4.8125
120.312,14.4375
72.1875,43.3125
101.062,67.375
120.312,14.4375
132.344,33.6875
24.0625,144.375
127.531,14.4375
24.0625,101.062
151.594,81.8125
33.6875,9.625
33.6875,96.25
43.3125,4.8125
110.688,48.125
72.1875,149.188
91.4375,144.375
24.0625,144.375
139.562,129.938
110.688,139.562
129.938,81.8125
24.0625,4.8125
91.4375,110.688
52.9375,52.9375
127.531,14.4375
72.1875,139.562
26.4688,52.9375
4.8125,86.625
120.312,86.625
52.9375,43.3125
110.688,48.125
4.8125,48.125
120.312,62.5625
110.688,48.125
139.562,33.6875
72.1875,149.188
110.688,24.0625
14.4375,91.4375
120.312,86.625
52.9375,52.9375
72.1875,86.625
24.0625,24.0625
139.562,24.0625
24.0625,144.375
117.906,120.312
62.5625,110.688
91.4375,101.062
149.188,139.562
91.4375,125.125
52.9375,43.3125
120.312,86.625
16.8438,4.8125
113.094,33.6875
33.6875,120.312
72.1875,62.5625
62.5625,139.562
91.4375,125.125
4.8125,48.125
149.188,24.0625
62.5625,24.0625
101.062,52.9375
139.562,4.8125
81.8125,24.0625
33.6875,149.188
120.312,72.1875
52.9375,96.25
91.4375,125.125
14.4375,48.125
14.4375,144.375
72.1875,43.3125
81.8125,24.0625
43.3125,115.5
101.062,91.4375
43.3125,105.875
129.938,81.8125
108.281,110.688
129.938,81.8125
4.8125,48.125
91.4375,125.125
62.5625,48.125
120.312,72.1875
52.9375,144.375
33.6875,9.625
14.4375,105.875
139.562,139.562
62.5625,24.0625
81.8125,33.6875
14.4375,33.6875
149.188,4.8125
113.094,33.6875
127.531,33.6875
43.3125,139.562
101.062,43.3125
52.9375,144.375
139.562,139.562
14.4375,48.125
43.3125,149.188
33.6875,24.0625
139.562,149.188
4.8125,86.625
139.562,139.562
43.3125,139.562
91.4375,144.375
4.8125,105.875
24.0625,72.1875
43.3125,149.188
139.562,149.188
72.1875,24.0625
149.188,14.4375
43.3125,149.188
7.21875,14.4375
72.1875,96.25
81.8125,129.938
64.9688,33.6875
139.562,52.9375
64.9688,33.6875
101.062,52.9375
120.312,4.8125
